Date,Price,Open,High,Low,Vol.,Change %
"Apr 02, 2020",1642.7,1636.4,1636.4,1636.4,0.29K,2.82%
"Apr 01, 2020",1597.6,1594.4,1594.4,1594.4,0.18K,-0.32%
"Mar 31, 2020",1602.7,1625.3,1625.3,1625.3,0.06K,-2.83%
"Mar 30, 2020",1649.3,1646.9,1646.9,1646.9,0.10K,-0.7%
"Mar 27, 2020",1661,1647.1,1647.1,1647.1,0.27K,-0.44%
"Mar 26, 2020",1668.3,1674.3,1674.3,1659.4,0.01K,1.79%
"Mar 25, 2020",1639,1650.9,1656.6,1650.5,0.06K,-1.81%
"Mar 24, 2020",1669.2,1594.6,1653.5,1594.6,0.03K,5.09%
"Mar 23, 2020",1588.3,1514.6,1572.8,1502.6,0.01K,5.79%
"Mar 20, 2020",1501.4,1515.8,1515.8,1515.8,0.01K,0.28%
"Mar 19, 2020",1497.2,1496.6,1508,1476.9,0.01K,0.17%
"Mar 18, 2020",1494.6,1520.6,1520.6,1502.3,0.32K,-3.02%
"Mar 17, 2020",1541.1,1504.5,1561.5,1476.3,0.01K,2.74%
"Mar 16, 2020",1500,1485,1503,1485,0.01K,-2.1%
"Mar 13, 2020",1532.2,1591,1591,1529.3,0.10K,-4.62%
"Mar 12, 2020",1606.5,1654.3,1654.3,1581.5,0.01K,-3.12%
"Mar 11, 2020",1658.3,1670,1670,1653.1,0.03K,-1.09%
"Mar 10, 2020",1676.6,1675.9,1675.9,1662.1,0.19K,-0.88%
"Mar 09, 2020",1691.5,1709.9,1710.1,1672.9,0.13K,-0.01%
"Mar 06, 2020",1691.6,1696,1703.6,1686.3,0.07K,0.07%
"Mar 05, 2020",1690.5,1655.7,1671,1655.2,0.18K,1.42%
"Mar 04, 2020",1666.9,1664.2,1664.5,1664.2,0.22K,-0.19%
"Mar 03, 2020",1670,1606.5,1663.8,1606.5,0.06K,3.05%
"Mar 02, 2020",1620.6,1602.5,1624.3,1600.2,0.25K,1.5%
"Feb 28, 2020",1596.6,1595.2,1617.8,1595.2,0.56K,-4.76%
"Feb 27, 2020",1676.4,1679,1684.4,1670,0.01K,-0.11%
"Feb 26, 2020",1678.2,1677.6,1677.6,1677.6,0.02K,-0.49%
"Feb 25, 2020",1686.4,1681,1683.6,1681,0.54K,-1.58%
"Feb 24, 2020",1713.5,1707.4,1707.4,1707.4,0.02K,1.61%
"Feb 21, 2020",1686.3,1672.3,1678.1,1672.3,0.08K,1.71%
"Feb 20, 2020",1658,1641.4,1651.9,1641.4,0.12K,0.52%
